date;total;cas
25.févr;1;
26.févr;1;0
27.févr;3;2
28.févr;15;12
29.févr;20;5
01.mars;25;5
02.mars;27;2
03.mars;37;10
04.mars;58;21
05.mars;87;29
06.mars;210;123
07.mars;246;36
08.mars;281;35
09.mars;312;31
10.mars;476;164
11.mars;645;169
12.mars;858;213
13.mars;1125;267
14.mars;1359;234
15.mars;2200;841
16.mars;2300;100
17.mars;2650;350
18.mars;3028;378
19.mars;3888;860
20.mars;4840;952
21.mars;6113;1273
22.mars;7014;901
23.mars;8060;1046
24.mars;8836;776
25.mars;9765;929
26.mars;10714;949
27.mars;12161;1447
28.mars;13213;1052
29.mars;14336;1123
30.mars;15475;1139
31.mars;16176;701
01.avr;17139;963
02.avr;18267;1128
03.avr;19303;1036
04.avr;20278;975
05.avr;21100;822
06.avr;21652;552
07.avr;22242;590
08.avr;22789;547
09.avr;23574;785
10.avr;24308;734
11.avr;24900;592
12.avr;25300;400
13.avr;25580;280
14.avr;25834;254
15.avr;26336;502
16.avr;26732;396
17.avr;27078;346
18.avr;27440;362
19.avr;27740;300
20.avr;27944;204
21.avr;28063;119
22.avr;28268;205
23.avr;28496;228
24.avr;28677;181
25.avr;28894;217
26.avr;29061;167
27.avr;29164;103
28.avr;29264;100
29.avr;29407;143
30.avr;29586;179
01.mai;29705;119
02.mai;29817;112
03.mai;29905;88
04.mai;29981;76
05.mai;30009;28
06.mai;30060;51
07.mai;30126;66
08.mai;30207;81
09.mai;30231;24
10.mai;30305;74
11.mai;30344;39
12.mai;30380;36
13.mai;30413;33
14.mai;30463;50
15.mai;30514;51
16.mai;30572;58
17.mai;30587;15
18.mai;30597;10
19.mai;30618;21
20.mai;30658;40
21.mai;30694;36
22.mai;30707;13
23.mai;30725;18
24.mai;30736;11
25.mai;30746;10
26.mai;30761;15
27.mai;30776;15
28.mai;30796;20
29.mai;30828;32
30.mai;30845;17
31.mai;30862;17
01.juin;30871;9
02.juin;30874;3
03.juin;30893;19
04.juin;30913;20
05.juin;30936;23
06.juin;30956;20
07.juin;30965;9
08.juin;30972;7
09.juin;30988;16
10.juin;31011;23
11.juin;31044;33
12.juin;31063;19
13.juin;31094;31
14.juin;31117;23
15.juin;31131;14
16.juin;31146;15
17.juin;31183;37
18.juin;31200;17
19.juin;31217;17
20.juin;31243;26
21.juin;31292;49
22.juin;31310;18
23.juin;31332;22
24.juin;31376;44
25.juin;31428;52
26.juin;31486;58
27.juin;31555;69
28.juin;31617;62
29.juin;31652;35
30.juin;31714;62
01.juil;31851;137
02.juil;31967;116
03.juil;32101;134
04.juil;32198;97
05.juil;32268;70
06.juil;32315;47
07.juil;32369;54
08.juil;32498;129
09.juil;32586;88
10.juil;32690;104
11.juil;32817;127
12.juil;32883;66
13.juil;32946;63
14.juil;33016;70
15.juil;33148;132
16.juil;33290;142
17.juil;33382;92
18.juil;33492;110
19.juil;33591;99
20.juil;33634;43
21.juil;33742;108
22.juil;33883;141
23.juil;34000;117
24.juil;34154;154
25.juil;34302;148
26.juil;34412;110
27.juil;34477;65
28.juil;34609;132
29.juil;34802;193
30.juil;35022;220
31.juil;35232;210
01.août;35412;180
02.août;35550;138
03.août;35616;66
04.août;35746;130
05.août;35927;181
06.août;36108;181
07.août;36269;161
08.août;36451;182
09.août;36603;152
10.août;36708;105
11.août;36895;187
12.août;37169;274
13.août;37403;234
14.août;37671;268
15.août;37924;253
16.août;38124;200
17.août;38252;128
18.août;38449;197
19.août;38760;311
20.août;39026;266
21.août;39332;306
22.août;39627;295
23.août;39903;276
24.août;40060;157
25.août;40262;202
26.août;40645;383
27.août;41006;361
28.août;41346;340
29.août;41722;376
30.août;42014;292
31.août;42177;163
01.sept;42393;216
02.sept;42763;370
03.sept;43127;364
04.sept;43532;405
05.sept;43957;425
06.sept;44401;444
07.sept;44592;191
08.sept;44837;245
09.sept;45306;469
10.sept;45711;405
11.sept;46239;528
12.sept;46704;465
13.sept;47179;475
14.sept;47436;257
15.sept;47751;315
16.sept;48265;514
17.sept;48795;530
18.sept;49283;488
19.sept;49283;0
20.sept;49283;0
21.sept;50378;1095
22.sept;50664;286
23.sept;51101;437
24.sept;51492;391
25.sept;51864;372
26.sept;51864;0
27.sept;51864;0
28.sept;52646;782
29.sept;52871;225
30.sept;53282;411
01.oct;53832;550
02.oct;54384;552
03.oct;54384;0
04.oct;54384;0
05.oct;55932;1548
06.oct;56632;700
07.oct;57709;1077
08.oct;58881;1172
09.oct;60368;1487
10.oct;60368;0
11.oct;60368;0
12.oct;64436;4068
13.oct;65881;1445
14.oct;68704;2823
15.oct;71317;2613
16.oct;74422;3105
17.oct;74422;0
18.oct;74422;0
19.oct;83159;8737
20.oct;86167;3008
21.oct;91763;5596
22.oct;97019;5256
23.oct;103653;6634
24.oct;103653;0
25.oct;103653;0
26.oct;121093;17440
27.oct;127042;5949
28.oct;135658;8616
29.oct;145044;9386
30.oct;154251;9207
31.oct;154251;0
01.nov;154251;0
02.nov;176177;21926
03.nov;182303;6126
04.nov;192376;10073
05.nov;202504;10128
06.nov;211913;9409
07.nov;211913;0
08.nov;211913;0
09.nov;229222;17309
10.nov;235202;5980
11.nov;243472;8270
12.nov;250396;6924
13.nov;257135;6739
14.nov;257135;0
15.nov;257135;0
16.nov;269974;12839
17.nov;274534;4560
18.nov;280648;6114
19.nov;285655;5007
20.nov;290601;4946
21.nov;290601;0
22.nov;290601;0
23.nov;300352;9751
24.nov;304593;4241
25.nov;309469;4876
26.nov;313978;4509
27.nov;318290;4312
28.nov;318290;0
29.nov;318290;0
30.nov;327072;8782
01.déc;330874;3802
02.déc;335660;4786
03.déc;340115;4455
04.déc;344497;4382
05.déc;344497;0
06.déc;344497;0
07.déc;354306;9809
08.déc;358568;4262
09.déc;363654;5086
10.déc;368695;5041
11.déc;373831;5136
12.déc;373831;0
13.déc;373831;0
14.déc;384557;10726
15.déc;388828;4271
16.déc;394453;5625
17.déc;399511;5058
18.déc;403989;4478
19.déc;403989;0
20.déc;403989;0
21.déc;413991;10002
22.déc;418266;4275
23.déc;423299;5033
24.déc;428197;4898
25.déc;428197;0
26.déc;428197;0
27.déc;428197;0
28.déc;438284;10087
29.déc;442481;4197
30.déc;447905;5424
31.déc;452296;4391
01.janv;452296;0
02.janv;452296;0
03.janv;452296;0
04.janv;461961;9665
05.janv;465981;4020
06.janv;470789;4808
07.janv;474764;3975
08.janv;477983;3219
09.janv;477983;0
10.janv;477983;0
11.janv;484506;6523
12.janv;487357;2851
13.janv;490358;3001
14.janv;492832;2474
15.janv;495228;2396
16.janv;495228;0
17.janv;495228;0
18.janv;499931;4703
19.janv;502191;2260
20.janv;504918;2727
21.janv;507123;2205
22.janv;509279;2156
23.janv;509279;0
24.janv;509279;0
25.janv;513599;4320
26.janv;515483;1884
27.janv;517705;2222
28.janv;519404;1699
29.janv;521320;1916
30.janv;521320;0
31.janv;521320;0
01.févr;525095;3775
02.févr;526728;1633
03.févr;528524;1796
04.févr;530289;1765
05.févr;531873;1584
06.févr;531873;0
07.févr;531873;0
08.févr;535153;3280
09.févr;536516;1363
10.févr;538118;1602
11.févr;539474;1356
12.févr;540727;1253
13.févr;540727;0
14.févr;540727;0
15.févr;543207;2480
16.févr;544282;1075
17.févr;545535;1253
18.févr;546754;1219
19.févr;547775;1021
20.févr;547775;0
21.févr;547775;0
22.févr;550224;2449
23.févr;551355;1131
24.févr;552698;1343
25.févr;553867;1169
26.févr;554932;1065
27.févr;554932;0
28.févr;554932;0
01.mars;557492;2560
02.mars;558622;1130
03.mars;559845;1223
04.mars;561068;1223
05.mars;562290;1222
06.mars;562290;0
07.mars;562290;0
08.mars;565034;2744
09.mars;566412;1378
10.mars;567903;1491
11.mars;569312;1409
12.mars;570645;1333
13.mars;570645;0
14.mars;570645;0
15.mars;573815;3170
16.mars;575253;1438
17.mars;577111;1858
18.mars;578861;1750
19.mars;580609;1748
20.mars;580609;0
21.mars;580609;0
22.mars;584252;3643
23.mars;586096;1844
24.mars;588118;2022
25.mars;590164;2046
26.mars;592217;2053
27.mars;592217;0
28.mars;592217;0
29.mars;596790;4573
30.mars;598713;1923
31.mars;601124;2411
01.avr;603092;1968
02.avr;605342;2250
03.avr;605342;0
04.avr;605342;0
05.avr;605342;0
06.avr;610274;4932
07.avr;612575;2301
08.avr;615024;2449
09.avr;617543;2519
10.avr;617543;0
11.avr;617543;0
12.avr;623126;5583
13.avr;625367;2241
14.avr;627968;2601
15.avr;630194;2226
16.avr;632399;2205
17.avr;632399;0
18.avr;632399;0
19.avr;637304;4905
20.avr;639445;2141
21.avr;642131;2686
22.avr;644396;2265
23.avr;646509;2113
24.avr;646509;0
25.avr;646509;0
26.avr;651822;5313
27.avr;653957;2135
28.avr;656077;2120
29.avr;658143;2066
30.avr;659974;1831
01.mai;659974;0
02.mai;659974;0
03.mai;663952;3978
04.mai;665585;1633
05.mai;667380;1795
06.mai;669067;1687
07.mai;670613;1546
08.mai;670613;0
09.mai;670613;0
10.mai;674296;3683
11.mai;675671;1375
12.mai;677210;1539
13.mai;677210;0
14.mai;679510;2300
15.mai;679510;0
16.mai;679510;0
17.mai;682160;2650
18.mai;683400;1240
19.mai;684954;1554
20.mai;686152;1198
21.mai;686152;0
22.mai;687353;1201
23.mai;687353;0
24.mai;687353;0
25.mai;690123;2770
26.mai;691119;996
27.mai;692111;992
28.mai;693023;912
29.mai;693023;0
30.mai;693023;0
31.mai;694740;1717
01.juin;695496;756
02.juin;696213;717
03.juin;696801;588
04.juin;697292;491
05.juin;697292;0
06.juin;697292;0
07.juin;698369;1077
08.juin;698798;429
09.juin;698798;0
10.juin;699697;899
11.juin;700051;354
12.juin;700051;0
13.juin;700051;0
14.juin;700735;684
15.juin;700978;243
16.juin;701260;282
17.juin;701454;194
18.juin;701627;173
19.juin;701627;0
20.juin;701627;0
21.juin;701994;367
22.juin;702124;130
23.juin;702278;154
24.juin;702398;120
25.juin;702507;109
26.juin;702507;0
27.juin;702507;0
28.juin;702746;239
29.juin;702875;129
30.juin;703004;129
01.juil;703176;172
02.juil;703334;158
03.juil;703334;0
04.juil;703334;0
05.juil;703783;449
06.juil;704057;274
07.juil;704352;295
08.juil;704620;268
09.juil;704943;323
10.juil;704943;0
11.juil;704943;0
12.juil;705765;822
13.juil;706248;483
14.juil;706775;527
15.juil;707357;582
16.juil;707357;0
17.juil;707976;619
18.juil;707976;0
19.juil;709536;1560
20.juil;710243;707
21.juil;711016;773
22.juil;711877;861
23.juil;712668;791
24.juil;712668;0
25.juil;712668;0
26.juil;714414;1746
27.juil;715267;853
28.juil;716038;771
29.juil;716865;827
30.juil;717665;800
31.juil;717665;0
01.août;717665;0
02.août;719684;2019
03.août;720743;1059
04.août;721776;1033
05.août;722801;1025
06.août;723968;1167
07.août;723968;0
08.août;723968;0
09.août;727113;3145
10.août;729024;1911
11.août;731148;2124
12.août;733275;2127
13.août;735375;2100
14.août;735375;0
15.août;735375;0
16.août;740954;5579
17.août;744106;3152
18.août;747396;3290
19.août;750186;2790
20.août;752761;2575
21.août;752761;0
22.août;752761;0
23.août;758984;6223
24.août;761978;2994
25.août;765190;3212
26.août;768001;2811
27.août;770765;2764
28.août;770765;0
29.août;770765;0
30.août;776962;6197
31.août;779666;2704
01.sept;782869;3203
02.sept;785696;2827
03.sept;785696;0
04.sept;785696;0
05.sept;785696;0
06.sept;785696;0
07.sept;798497;12801
08.sept;802048;3551
09.sept;805164;3116
10.sept;808058;2894
11.sept;808058;0
12.sept;808058;0
13.sept;814118;6060
14.sept;816110;1992
15.sept;818715;2605
16.sept;820982;2267
17.sept;823078;2096
18.sept;823078;0
19.sept;823078;0
20.sept;827111;4033
21.sept;828347;1236
22.sept;830251;1904
23.sept;831881;1630
24.sept;833385;1504
25.sept;833385;0
26.sept;833385;0
27.sept;836483;3098
28.sept;837769;1286
29.sept;839219;1450
30.sept;840363;1144
01.oct;841573;1210
02.oct;841573;0
03.oct;841573;0
04.oct;844209;2636
05.oct;845234;1025
06.oct;846327;1093
07.oct;847452;1125
08.oct;848418;966
09.oct;848418;0
10.oct;848418;0
11.oct;850684;2266
12.oct;851610;926
13.oct;852658;1048
14.oct;853637;979
15.oct;854591;954
16.oct;854591;0
17.oct;854591;0
18.oct;856957;2366
19.oct;858198;1241
20.oct;859646;1448
21.oct;861123;1477
22.oct;862411;1288
23.oct;862411;0
24.oct;862411;0
25.oct;865708;3297
26.oct;865708;0
27.oct;869044;3336
28.oct;870837;1793
29.oct;872558;1721
30.oct;872558;0
31.oct;872558;0
01.nov;877098;4540
02.nov;879051;1953
03.nov;881660;2609
04.nov;884597;2937
05.nov;887446;2849
06.nov;887446;0
07.nov;887446;0
08.nov;894093;6647
09.nov;897078;2985
10.nov;901228;4150
11.nov;905112;3884
12.nov;909038;3926
13.nov;909038;0
14.nov;909038;0
15.nov;918750;9712
16.nov;923047;4297
17.nov;929031;5984
18.nov;935047;6016
19.nov;941218;6171
20.nov;941218;0
21.nov;941218;0
22.nov;955810;14592
23.nov;962165;6355
24.nov;970753;8588
25.nov;978801;8048
26.nov;986834;8033
27.nov;986834;0
28.nov;986834;0
29.nov;1006239;19405
30.nov;1014662;8423
01.déc;1025129;10467
02.déc;1034675;9546
03.déc;1044633;9958
04.déc;1044633;0
05.déc;1044633;0
06.déc;1068528;23895
07.déc;1078503;9975
08.déc;1090928;12425
09.déc;1101789;10861
10.déc;1111923;10134
11.déc;1111923;0
12.déc;1111923;0
13.déc;1135363;23440
14.déc;1143534;8171
15.déc;1154701;11167
16.déc;1165778;11077
17.déc;1175721;9943
18.déc;1175721;0
19.déc;1175721;0
20.déc;1196208;20487
21.déc;1204379;8171
22.déc;1215944;11565
23.déc;1227395;11451
24.déc;1227395;0
25.déc;1227395;0
26.déc;1227395;0
27.déc;1263588;36193
28.déc;1276956;13368
29.déc;1294592;17636
30.déc;1313628;19036
31.déc;1332615;18987
01.janv;1332615;0
02.janv;1332615;0
03.janv;1371062;38447
04.janv;1391814;20752
05.janv;1422932;31118
06.janv;1455174;32242
07.janv;1483212;28038
08.janv;1483212;0
09.janv;1483212;0
10.janv;1546877;63665
11.janv;1571481;24604
12.janv;1604371;32890
13.janv;1634258;29887
14.janv;1666441;32183
15.janv;1666441;0
16.janv;1666441;0
17.janv;1734346;67905
18.janv;1763497;29151
19.janv;1801522;38025
20.janv;1841317;39795
21.janv;1879319;38002
22.janv;1879319;0
23.janv;1879319;0
24.janv;1966600;87281
25.janv;2003262;36662
26.janv;2046465;43203
27.janv;2091306;44841
28.janv;2131077;39771
29.janv;2131077;0
30.janv;2131077;0
31.janv;2220539;89462
01.févr;2253288;32749
02.févr;2294471;41183
03.févr;2331213;36742
04.févr;2364613;33400
05.févr;2364613;0
06.févr;2364613;0
07.févr;2433265;68652
08.févr;2460036;26771
09.févr;2489172;29136
10.févr;2515506;26334
11.févr;2537734;22228
12.févr;2537734;0
13.févr;2537734;0
14.févr;2586724;48990
15.févr;2607052;20328
16.févr;2628093;21041
17.févr;2628093;0
18.févr;2664194;36101
19.févr;2664194;0
20.févr;2664194;0
21.févr;2696491;32297
22.févr;2711618;15127
23.févr;2730037;18419
24.févr;2747563;17526
25.févr;2765218;17655
26.févr;2765218;0
27.févr;2765218;0
28.févr;2801951;36733
01.mars;2818720;16769
02.mars;2842412;23692
03.mars;2865436;23024
04.mars;2890568;25132
05.mars;2890568;0
06.mars;2890568;0
07.mars;2948689;58121
08.mars;2974778;26089
09.mars;3008537;33759
10.mars;3040668;32131
11.mars;3072758;32090
12.mars;3072758;0
13.mars;3072758;0
14.mars;3141904;69146
15.mars;3170937;29033
16.mars;3206975;36038
17.mars;3241348;34373
18.mars;3268953;27605
19.mars;3268953;0
20.mars;3268953;0
21.mars;3329950;60997
22.mars;3353754;23804
23.mars;3379845;26091
24.mars;3402297;22452
25.mars;3419549;17252
26.mars;3419549;0
27.mars;3419549;0
28.mars;3453885;34336
29.mars;3468289;14404
30.mars;3484702;16413
31.mars;3497499;12797
01.avr;3507309;9810
02.avr;3507309;0
03.avr;3507309;0
04.avr;3507309;0
05.avr;3528689;21380
06.avr;3528689;0
07.avr;3528689;0
08.avr;3528689;0
09.avr;3528689;0
10.avr;3528689;0
11.avr;3528689;0
12.avr;3568616;39927
13.avr;3568616;0
14.avr;3568616;0
15.avr;3568616;0
16.avr;3568616;0
17.avr;3568616;0
18.avr;3568616;0
19.avr;3596855;28239
20.avr;3596855;0
21.avr;3596855;0
22.avr;3596855;0
23.avr;3596855;0
24.avr;3596855;0
25.avr;3596855;0
26.avr;3619598;22743
27.avr;3619598;0
28.avr;3619598;0
29.avr;3619598;0
30.avr;3619598;0
01.mai;3619598;0
02.mai;3619598;0
03.mai;3636226;16628
04.mai;3636226;0
05.mai;3636226;0
06.mai;3636226;0
07.mai;3636226;0
08.mai;3636226;0
09.mai;3636226;0
10.mai;3649155;12929
11.mai;3649155;0
12.mai;3649155;0
13.mai;3649155;0
14.mai;3649155;0
15.mai;3649155;0
16.mai;3649155;0
17.mai;3659937;10782
18.mai;3659937;0
19.mai;3659937;0
20.mai;3659937;0
21.mai;3659937;0
22.mai;3659937;0
23.mai;3659937;0
24.mai;3668054;8117
25.mai;3668054;0
26.mai;3668054;0
27.mai;3668054;0
28.mai;3668054;0
29.mai;3668054;0
30.mai;3668054;0
31.mai;3674986;6932
01.juin;3674986;0
02.juin;3674986;0
03.juin;3674986;0
04.juin;3674986;0
05.juin;3674986;0
06.juin;3674986;0
07.juin;3685281;10295
08.juin;3685281;0
09.juin;3685281;0
10.juin;3685281;0
11.juin;3685281;0
12.juin;3685281;0
13.juin;3685281;0
14.juin;3701895;16614
15.juin;3701895;0
16.juin;3701895;0
17.juin;3701895;0
18.juin;3701895;0
19.juin;3701895;0
20.juin;3701895;0
21.juin;3726615;24720
22.juin;3726615;0
23.juin;3726615;0
24.juin;3726615;0
25.juin;3726615;0
26.juin;3726615;0
27.juin;3726615;0
28.juin;3759730;33115
29.juin;3759730;0
30.juin;3759730;0
01.juil;3759730;0
02.juil;3759730;0
03.juil;3759730;0
04.juil;3759730;0
05.juil;3805774;46044
06.juil;3805774;0
07.juil;3805774;0
08.juil;3805774;0
09.juil;3805774;0
10.juil;3805774;0
11.juil;3805774;0
12.juil;3861756;55982
13.juil;3861756;0
14.juil;3861756;0
15.juil;3861756;0
16.juil;3861756;0
17.juil;3861756;0
18.juil;3861756;0
19.juil;3911515;49759
20.juil;3911515;0
21.juil;3911515;0
22.juil;3911515;0
23.juil;3911515;0
24.juil;3911515;0
25.juil;3911515;0
26.juil;3949259;37744
27.juil;3949259;0
28.juil;3949259;0
29.juil;3949259;0
30.juil;3949259;0
31.juil;3949259;0
01.août;3949259;0
02.août;3972622;23363
03.août;3972622;0
04.août;3972622;0
05.août;3972622;0
06.août;3972622;0
07.août;3972622;0
08.août;3972622;0
09.août;3994397;21775
10.août;3994397;0
11.août;3994397;0
12.août;3994397;0
13.août;3994397;0
14.août;3994397;0
15.août;3994397;0
16.août;4012610;18213
17.août;4012610;0
18.août;4012610;0
19.août;4012610;0
20.août;4012610;0
21.août;4012610;0
22.août;4012610;0
23.août;4029657;17047
24.août;4029657;0
25.août;4029657;0
26.août;4029657;0
27.août;4029657;0
28.août;4029657;0
29.août;4029657;0
30.août;4045011;15354
31.août;4045011;0
01.sept;4045011;0
02.sept;4045011;0
03.sept;4045011;0
04.sept;4045011;0
05.sept;4045011;0
06.sept;4059532;14521
07.sept;4059532;0
08.sept;4059532;0
09.sept;4059532;0
10.sept;4059532;0
11.sept;4059532;0
12.sept;4059532;0
13.sept;4073348;13816
14.sept;4073348;0
15.sept;4073348;0
16.sept;4073348;0
17.sept;4073348;0
18.sept;4073348;0
19.sept;4073348;0
20.sept;4087087;13739
21.sept;4087087;0
22.sept;4087087;0
23.sept;4087087;0
24.sept;4087087;0
25.sept;4087087;0
26.sept;4087087;0
27.sept;4103959;16872
28.sept;4103959;0
29.sept;4103959;0
30.sept;4103959;0
01.oct;4103959;0
02.oct;4103959;0
03.oct;4103959;0
04.oct;4129096;25137
05.oct;4129096;0
06.oct;4129096;0
07.oct;4129096;0
08.oct;4129096;0
09.oct;4129096;0
10.oct;4129096;0
11.oct;4164685;35589
12.oct;4164685;0
13.oct;4164685;0
14.oct;4164685;0
15.oct;4164685;0
16.oct;4164685;0
17.oct;4164685;0
18.oct;4164685;0
19.oct;4164685;0
20.oct;4201711;37026
21.oct;4201711;0
22.oct;4201711;0
23.oct;4201711;0
24.oct;4201711;0
25.oct;4232022;30311
26.oct;4232022;0
27.oct;4232022;0
28.oct;4232022;0
29.oct;4232022;0
30.oct;4232022;0
31.oct;4232022;0
01.nov;4255891;23869
02.nov;4255891;0
03.nov;4255891;0
04.nov;4255891;0
05.nov;4255891;0
06.nov;4255891;0
07.nov;4255891;0
08.nov;4276848;20957
09.nov;4276848;0
10.nov;4276848;0
11.nov;4276848;0
12.nov;4276848;0
13.nov;4276848;0
14.nov;4276848;0
15.nov;4297635;20787
16.nov;4297635;0
17.nov;4297635;0
18.nov;4297635;0
19.nov;4297635;0
20.nov;4297635;0
21.nov;4297635;0
22.nov;4318881;21246
23.nov;4318881;0
24.nov;4318881;0
25.nov;4318881;0
26.nov;4318881;0
27.nov;4318881;0
28.nov;4318881;0
29.nov;4337983;19102
30.nov;4337983;0
01.déc;4337983;0
02.déc;4337983;0
03.déc;4337983;0
04.déc;4337983;0
05.déc;4337983;0
06.déc;4356582;18599
07.déc;4356582;0
08.déc;4356582;0
09.déc;4356582;0
10.déc;4356582;0
11.déc;4356582;0
12.déc;4356582;0
13.déc;4373011;16429
14.déc;4373011;0
15.déc;4373011;0
16.déc;4373011;0
17.déc;4373011;0
18.déc;4373011;0
19.déc;4373011;0
20.déc;4386815;13804
21.déc;4386815;0
22.déc;4386815;0
23.déc;4386815;0
24.déc;4386815;0
25.déc;4386815;0
26.déc;4386815;0
27.déc;4386815;0
28.déc;4386815;0
29.déc;4399516;12701
30.déc;4399516;0
31.déc;4399516;0
01.janv;4399516;0
02.janv;4399516;0
03.janv;4399516;0
04.janv;4399516;0
05.janv;4403682;4166
06.janv;4403682;0
07.janv;4403682;0
08.janv;4403682;0
09.janv;4403682;0
10.janv;4404980;1298
11.janv;4404980;0
12.janv;4404980;0
13.janv;4404980;0
14.janv;4404980;0
15.janv;4404980;0
16.janv;4404980;0
17.janv;4406243;1263
18.janv;4406243;0
19.janv;4406243;0
20.janv;4406243;0
21.janv;4406243;0
22.janv;4406243;0
23.janv;4406243;0
24.janv;4406243;0
25.janv;4406243;0
26.janv;4406243;0
27.janv;4406243;0
28.janv;4406243;0
29.janv;4406243;0
30.janv;4407050;807
31.janv;4407915;865
01.févr;4407915;0
02.févr;4407915;0
03.févr;4407915;0
04.févr;4407915;0
05.févr;4407915;0
06.févr;4407915;0
07.févr;4408833;918
08.févr;4408833;0
09.févr;4408833;0
10.févr;4408833;0
11.févr;4408833;0
12.févr;4408833;0
13.févr;4408833;0
14.févr;4409828;995
15.févr;4409828;0
16.févr;4409828;0
17.févr;4409828;0
18.févr;4409828;0
19.févr;4409828;0
20.févr;4409828;0
21.févr;4411059;1231
22.févr;4411059;0
23.févr;4411059;0
24.févr;4411059;0
25.févr;4411059;0
26.févr;4411059;0
27.févr;4411059;0
28.févr;4412439;1380
01.mars;4412439;0
02.mars;4412439;0
03.mars;4412439;0
04.mars;4412439;0
05.mars;4412439;0
06.mars;4412439;0
07.mars;4413911;1472
08.mars;4413911;0
09.mars;4413911;0
